Category,Website,URL,Access,Subscription required?,Website is for
"Illustrations, mockups, assets, and stock",Humaaans,https://www.humaaans.com,Free,No,Mix-and-match illustrations of people
"Illustrations, mockups, assets, and stock",Absurd Design,https://absurd.design,Freemium,Optional,Distinctive hand-drawn abstract illustrations
"Illustrations, mockups, assets, and stock",Open Doodles,https://www.opendoodles.com,Free,No,Open-source hand-drawn illustrations
"Illustrations, mockups, assets, and stock",Delesign Illustrations,https://delesign.com/free-designs/graphics,Free,No,Royalty-free illustrations for digital projects
"Illustrations, mockups, assets, and stock",Reshot,https://www.reshot.com,Free,No,"Free icons, illustrations, and photos"
"Illustrations, mockups, assets, and stock",Mixkit,https://mixkit.co,Free,No,"Free illustrations, stock video, music, and templates"
"Illustrations, mockups, assets, and stock",Black Illustrations,https://www.blackillustrations.com,Freemium,Optional,Illustration collections representing Black people
"Illustrations, mockups, assets, and stock",fffuel,https://fffuel.co,Free,No,"SVG background, pattern, gradient, and shape generators"
"Illustrations, mockups, assets, and stock",Haikei,https://haikei.app,Freemium,Optional,Generative SVG backgrounds and visual assets
"Illustrations, mockups, assets, and stock",PatternPad,https://patternpad.com,Free,No,Browser-based pattern generator
"Illustrations, mockups, assets, and stock",Figma Community,https://www.figma.com/community,Free,No,"Community files, templates, plugins, and UI kits"
"Illustrations, mockups, assets, and stock",UI8,https://ui8.net,Paid,Yes,"Premium UI kits, fonts, illustrations, and design assets"
"Illustrations, mockups, assets, and stock",Creative Market,https://creativemarket.com,Paid,Yes,"Marketplace for fonts, templates, mockups, and graphics"
"Illustrations, mockups, assets, and stock",Envato Elements,https://elements.envato.com,Paid,Yes,"Subscription library of templates, stock, fonts, audio, and video"
"Illustrations, mockups, assets, and stock",Pixelbuddha,https://pixelbuddha.net,Freemium,Optional,"Free and premium fonts, mockups, effects, and graphic assets"
"Illustrations, mockups, assets, and stock",Unblast,https://unblast.com,Free,No,"Curated free mockups, fonts, icons, and templates"
"Illustrations, mockups, assets, and stock",Freebiesbug,https://freebiesbug.com,Free,No,"Free design resources for Figma, Sketch, Photoshop, and web projects"
"Illustrations, mockups, assets, and stock",UI Store Design,https://www.uistore.design,Free,No,Free UI kits and design resources
"Design tools, AI UI tools, and visual builders",Figma,https://www.figma.com,Freemium,Optional,"Collaborative interface design, prototyping, whiteboarding, and developer handoff"
"Design tools, AI UI tools, and visual builders",Penpot,https://penpot.app,Open source,No,Open-source interface design and prototyping platform
"Design tools, AI UI tools, and visual builders",Framer,https://www.framer.com,Freemium,Optional,Visual website design and publishing with React-based output
"Design tools, AI UI tools, and visual builders",Webflow,https://webflow.com,Freemium,Optional,Visual website builder and CMS
"Design tools, AI UI tools, and visual builders",Webstudio,https://webstudio.is,Open source,No,Open-source visual website builder
"Design tools, AI UI tools, and visual builders",Uizard,https://uizard.io,Freemium,Optional,"AI-assisted wireframing, UI design, and prototyping"
"Design tools, AI UI tools, and visual builders",Visily,https://www.visily.ai,Freemium,Optional,AI UI design and wireframing for product teams
"Design tools, AI UI tools, and visual builders",Google Stitch,https://stitch.withgoogle.com,Free,No,AI-generated UI designs and frontend code
"Design tools, AI UI tools, and visual builders",v0,https://v0.dev,Freemium,Optional,AI generation of React interfaces and applications
"Design tools, AI UI tools, and visual builders",Lovable,https://lovable.dev,Freemium,Optional,Prompt-driven full-stack web-application builder
"Design tools, AI UI tools, and visual builders",Bolt,https://bolt.new,Freemium,Optional,Browser-based AI full-stack application development
"Design tools, AI UI tools, and visual builders",Replit,https://replit.com,Freemium,Optional,Cloud IDE and AI application-building platform
"Design tools, AI UI tools, and visual builders",Magic Patterns,https://www.magicpatterns.com,Freemium,Optional,AI-generated product UI and design exploration
"Design tools, AI UI tools, and visual builders",Relume,https://www.relume.io,Freemium,Optional,"AI sitemaps, wireframes, and Webflow or Figma component libraries"
"Design tools, AI UI tools, and visual builders",Dora,https://www.dora.run,Freemium,Optional,No-code animated and 3D website builder
"Design tools, AI UI tools, and visual builders",Plasmic,https://www.plasmic.app,Freemium,Optional,Visual builder for React websites and applications
"Design tools, AI UI tools, and visual builders",Builder.io,https://www.builder.io,Freemium,Optional,Visual development platform and AI-generated frontend experiences
"Design tools, AI UI tools, and visual builders",Anima,https://www.animaapp.com,Freemium,Optional,Figma-to-code and design-to-production workflows
"Design tools, AI UI tools, and visual builders",Locofy,https://www.locofy.ai,Freemium,Optional,Design-to-code platform for Figma and frontend frameworks
"Design tools, AI UI tools, and visual builders",TeleportHQ,https://teleporthq.io,Freemium,Optional,Visual website builder and frontend code generator
